date,ticker,headline,finbert_sentiment,news_impact,company_relevance
2019-10-29,RELIANCE,Supply chain disruptions may impact margin realization for Reliance Industries Ltd,-0.516,LOW,0.96
2019-11-04,RELIANCE,Profit booking seen in RELIANCE following multi-week rally,-0.287,LOW,0.96
2019-11-06,RELIANCE,Supply chain disruptions may impact margin realization for Reliance Industries Ltd,-0.485,LOW,0.96
2019-11-07,RELIANCE,Management reiterates double-digit guidance for upcoming fiscal year,0.832,HIGH,0.96
2019-11-11,RELIANCE,Supply chain disruptions may impact margin realization for Reliance Industries Ltd,-0.351,LOW,0.96
2019-11-13,RELIANCE,Sectoral rotation puts temporary downward pressure on RELIANCE,-0.411,MEDIUM,0.96
2019-11-18,RELIANCE,Earnings beat: Reliance Industries Ltd reports robust quarterly EBITDA growth,0.897,HIGH,0.96
2019-11-25,RELIANCE,New product launch and capacity expansion announced by Reliance Industries Ltd,0.664,MEDIUM,0.96
2019-12-02,RELIANCE,New product launch and capacity expansion announced by Reliance Industries Ltd,0.663,MEDIUM,0.96
2019-12-04,RELIANCE,Input cost inflation weighs on quarterly operating margin for Reliance Industries Ltd,-0.427,MEDIUM,0.96
2019-12-10,RELIANCE,New product launch and capacity expansion announced by Reliance Industries Ltd,0.643,MEDIUM,0.96
2019-12-11,RELIANCE,Block deal executed in RELIANCE; heavy institutional buying observed,0.56,MEDIUM,0.96
2019-12-12,RELIANCE,Management reiterates double-digit guidance for upcoming fiscal year,0.896,HIGH,0.96
2019-12-26,RELIANCE,Sectoral rotation puts temporary downward pressure on RELIANCE,-0.479,MEDIUM,0.96
2019-12-30,RELIANCE,Earnings beat: Reliance Industries Ltd reports robust quarterly EBITDA growth,0.745,HIGH,0.96
2020-01-02,RELIANCE,Regulatory scrutiny prompts consolidation in RELIANCE shares,-0.859,HIGH,0.96
2020-01-03,RELIANCE,Sectoral rotation puts temporary downward pressure on RELIANCE,-0.384,MEDIUM,0.96
2020-01-09,RELIANCE,Supply chain disruptions may impact margin realization for Reliance Industries Ltd,-0.465,LOW,0.96
2020-01-14,RELIANCE,Earnings beat: Reliance Industries Ltd reports robust quarterly EBITDA growth,0.665,HIGH,0.96
2020-01-17,RELIANCE,Regulatory scrutiny prompts consolidation in RELIANCE shares,-0.727,HIGH,0.96
2020-01-22,RELIANCE,Foreign institutional investors increase stake in Reliance Industries Ltd,0.844,HIGH,0.96
2020-02-03,RELIANCE,Sectoral rotation puts temporary downward pressure on RELIANCE,-0.48,MEDIUM,0.96
2020-02-11,RELIANCE,New product launch and capacity expansion announced by Reliance Industries Ltd,0.654,MEDIUM,0.96
2020-02-12,RELIANCE,Foreign institutional investors increase stake in Reliance Industries Ltd,0.733,HIGH,0.96
2020-02-21,RELIANCE,Input cost inflation weighs on quarterly operating margin for Reliance Industries Ltd,-0.614,MEDIUM,0.96
2020-02-25,RELIANCE,Input cost inflation weighs on quarterly operating margin for Reliance Industries Ltd,-0.433,MEDIUM,0.96
2020-02-27,RELIANCE,Margin expansion across core segments drives institutional interest in RELIANCE,0.603,MEDIUM,0.96
2020-03-02,RELIANCE,Margin expansion across core segments drives institutional interest in RELIANCE,0.589,MEDIUM,0.96
2020-03-04,RELIANCE,Management reiterates double-digit guidance for upcoming fiscal year,0.707,HIGH,0.96
